cell_global_id,cell_folder,aging_condition,aging_temperature_C,rpt_id_from_filename,source_file,channel,channel_num,rpt_id,q02_selection,q02_step,q02_repeat,q02_current_A,q02_duration_s,q02_capacity_span_Ah,q02_complete_candidates,q1_selection,q1_step,q1_repeat,q1_current_A,q1_duration_s,q1_capacity_span_Ah,q1_complete_candidates,discharge_0p2C_capacity_Ah,delta_q_at_4p195_Ah,status,cell_channel_match,qc_warning,var_dq_3p3_4p2_Ah2,mean_dq_gt_3p8_Ah,mean_dq_3p8_3p9_Ah,mean_dq_3p9_4p0_Ah,mean_dq_4p0_4p1_Ah,mean_dq_4p1_4p2_Ah,max_dq_gt_3p8_Ah,min_dq_gt_3p8_Ah,range_dq_gt_3p8_Ah,std_dq_gt_3p8_Ah,soh_label_pct,soh_label_source
1,1. LOW C@ 25°C #1,LOW C@ 25°C #1,25.0,0,/content/drive/MyDrive/Battery raw data/RPT Data/1. LOW C@ 25°C #1/0.csv,M01Ch001[001],1,0,protocol_second_repeat,6,2,0.6,18219.8,3.028,2,protocol_second_repeat,11,2,3.0,3583.05,2.879,2,3.018,0.4169999999999998,OK,True,,0.007518709435044565,0.29440506631487184,0.2385396726525408,0.2870851067043604,0.24751447505367427,0.4098933085804826,0.4632389533542547,0.23079764271699954,0.23244131063725515,0.07545669297654967,100.0,2nd 0.2C discharge / same-cell RPT0
1,1. LOW C@ 25°C #1,LOW C@ 25°C #1,25.0,1,/content/drive/MyDrive/Battery raw data/RPT Data/1. LOW C@ 25°C #1/1.csv,M01Ch001[001],1,1,protocol_second_repeat,6,2,0.6,16956.05,2.816,1,protocol_second_repeat,11,2,3.0,3325.05,2.662,2,2.81,0.4289999999999998,OK,True,,0.0089144533707492,0.29811830740265416,0.25370691899705766,0.2887567409193244,0.23944125661168872,0.4160737937854986,0.4712643683652331,0.22305446322870326,0.24820990513652985,0.07700950257569367,93.10801855533467,2nd 0.2C discharge / same-cell RPT0
1,1. LOW C@ 25°C #1,LOW C@ 25°C #1,25.0,2,/content/drive/MyDrive/Battery raw data/RPT Data/1. LOW C@ 25°C #1/2.csv,M01Ch001[001],1,2,protocol_second_repeat,6,2,0.6,16300.65,2.705,1,protocol_second_repeat,11,2,3.0,3178.15,2.537,2,2.7,0.43699999999999983,OK,True,,0.009735855013251598,0.30230977504895623,0.2585390226487607,0.2958997342886638,0.24483464329300123,0.4152683707017176,0.47201638380280864,0.22730673262367862,0.24470965117913002,0.07518193861634999,89.46322067594434,2nd 0.2C discharge / same-cell RPT0
1,1. LOW C@ 25°C #1,LOW C@ 25°C #1,25.0,3,/content/drive/MyDrive/Battery raw data/RPT Data/1. LOW C@ 25°C #1/3.csv,M01Ch001[001],1,3,protocol_second_repeat,6,2,0.6,15994.85,2.653,1,protocol_second_repeat,11,2,3.0,3110.65,2.48,2,2.649,0.4406868718963346,OK,True,,0.010022406124197858,0.30233032286840844,0.2595836714760728,0.29704450928769666,0.24527480717298852,0.4126066299005401,0.46987855818284396,0.22762684180137338,0.24225171638147058,0.07420418783328994,87.77335984095429,2nd 0.2C discharge / same-cell RPT0
1,1. LOW C@ 25°C #1,LOW C@ 25°C #1,25.0,4,/content/drive/MyDrive/Battery raw data/RPT Data/1. LOW C@ 25°C #1/4.csv,M01Ch001[001],1,4,protocol_second_repeat,6,2,0.6,15725.55,2.607,1,protocol_second_repeat,11,2,3.0,3045.7,2.422,2,2.603,0.456019886382641,OK,True,,0.010921385644393098,0.311752503288844,0.2676939755424634,0.3085448179053451,0.2563738836039677,0.4194894816770439,0.4785244749374873,0.23799728516445273,0.24052718977303456,0.0733673849369852,86.2491716368456,2nd 0.2C discharge / same-cell RPT0
1,1. LOW C@ 25°C #1,LOW C@ 25°C #1,25.0,5,/content/drive/MyDrive/Battery raw data/RPT Data/1. LOW C@ 25°C #1/5.csv,M01Ch001[001],1,5,protocol_second_repeat,6,2,0.6,15527.15,2.572,1,protocol_second_repeat,11,2,3.0,2992.95,2.375,2,2.568,0.46299999999999963,OK,True,,0.011733071028996712,0.320389754699667,0.27436563425947463,0.3190138977272156,0.26788691855986174,0.4252705107175828,0.4839833156786435,0.2486296819828595,0.235353633695784,0.07212156212981144,85.08946322067595,2nd 0.2C discharge / same-cell RPT0
1,1. LOW C@ 25°C #1,LOW C@ 25°C #1,25.0,6,/content/drive/MyDrive/Battery raw data/RPT Data/1. LOW C@ 25°C #1/6.csv,M01Ch001[001],1,6,protocol_second_repeat,6,2,0.6,15031.1,2.4872,1,protocol_second_repeat,11,2,3.0,2857.05,2.2565,2,2.481,0.48809674592745256,OK,True,,0.013626091324723944,0.33760348875340984,0.28607187477374374,0.33858700516731344,0.2942984033794681,0.4361616247952732,0.4969137184803696,0.273293410452522,0.2236203080278476,0.06975681669172008,82.20675944333996,2nd 0.2C discharge / same-cell RPT0
1,1. LOW C@ 25°C #1,LOW C@ 25°C #1,25.0,7,/content/drive/MyDrive/Battery raw data/RPT Data/1. LOW C@ 25°C #1/7.csv,M01Ch001[001],1,7,protocol_second_repeat,6,2,0.6,14609.95,2.4148,1,protocol_second_repeat,11,2,3.0,2730.5,2.1463,2,2.4075,0.5135973449195959,OK,True,,0.016119386403344947,0.35794463630615336,0.2991211177428738,0.3594391020328141,0.3248173128942509,0.4529425121886838,0.5173298445234684,0.29218636152837263,0.2251434829950958,0.06906641140230407,79.77137176938372,2nd 0.2C discharge / same-cell RPT0
2,2. LOW C@ 25°C #2,LOW C@ 25°C #2,25.0,0,/content/drive/MyDrive/Battery raw data/RPT Data/2. LOW C@ 25°C #2/0.csv,M01Ch002[002],2,0,protocol_second_repeat,6,2,0.6,18362.4,3.051,2,protocol_second_repeat,11,2,3.0,3618.1,2.911,2,3.042,0.40600000000000014,OK,True,,0.007094631082694072,0.286677754908609,0.23149696758252078,0.27917400928312613,0.238905089882079,0.40256401596529656,0.45707911762691644,0.2195983800332002,0.23748073759371624,0.07581233628818682,100.0,2nd 0.2C discharge / same-cell RPT0
2,2. LOW C@ 25°C #2,LOW C@ 25°C #2,25.0,1,/content/drive/MyDrive/Battery raw data/RPT Data/2. LOW C@ 25°C #2/1.csv,M01Ch002[002],2,1,protocol_second_repeat,6,2,0.6,17120.65,2.843,1,protocol_second_repeat,11,2,3.0,3360.5,2.693,2,2.837,0.41999999999999993,OK,True,,0.008566329119287227,0.2921403730308043,0.24850523298656482,0.28222165389199594,0.23284002058278952,0.41051331125418483,0.4679760311620864,0.21765432000051987,0.25032171116156654,0.07763526932547661,93.26101249178174,2nd 0.2C discharge / same-cell RPT0
2,2. LOW C@ 25°C #2,LOW C@ 25°C #2,25.0,2,/content/drive/MyDrive/Battery raw data/RPT Data/2. LOW C@ 25°C #2/2.csv,M01Ch002[002],2,2,protocol_second_repeat,6,2,0.6,16445.05,2.728,1,protocol_second_repeat,11,2,3.0,3206.95,2.56,2,2.723,0.44200000000000017,OK,True,,0.00960006099067111,0.30112818364350263,0.2583822900179812,0.29464413628781627,0.24341187954015817,0.4133406903903364,0.472296174401563,0.22600247421585085,0.24629370018571217,0.07544894500608229,89.51347797501644,2nd 0.2C discharge / same-cell RPT0
2,2. LOW C@ 25°C #2,LOW C@ 25°C #2,25.0,3,/content/drive/MyDrive/Battery raw data/RPT Data/2. LOW C@ 25°C #2/3.csv,M01Ch002[002],2,3,protocol_second_repeat,6,2,0.6,16128.1,2.674,1,protocol_second_repeat,11,2,3.0,3136.6,2.498,2,2.67,0.4476550599726643,OK,True,,0.010190681546205865,0.3060401191600542,0.26284216574872415,0.30172774724839013,0.2502187726562338,0.41448446992931354,0.47506831762491464,0.23157012041624658,0.24349819720866805,0.07413093396993968,87.77120315581854,2nd 0.2C discharge / same-cell RPT0
2,2. LOW C@ 25°C #2,LOW C@ 25°C #2,25.0,4,/content/drive/MyDrive/Battery raw data/RPT Data/2. LOW C@ 25°C #2/4.csv,M01Ch002[002],2,4,protocol_second_repeat,6,2,0.6,15835.5,2.624,1,protocol_second_repeat,11,2,3.0,3066.4,2.438,2,2.621,0.4536534435785997,OK,True,,0.010733869235095624,0.31035307476289015,0.26647767792254234,0.3081961754193165,0.25655742488225,0.41514545688888516,0.47684804038442064,0.23676976829559804,0.2400782720888226,0.07261648805941037,86.16042077580539,2nd 0.2C discharge / same-cell RPT0
2,2. LOW C@ 25°C #2,LOW C@ 25°C #2,25.0,5,/content/drive/MyDrive/Battery raw data/RPT Data/2. LOW C@ 25°C #2/5.csv,M01Ch002[002],2,5,protocol_second_repeat,6,2,0.6,15618.5,2.587,1,protocol_second_repeat,11,2,3.0,3007.35,2.387,2,2.582,0.46450001108079775,OK,True,,0.011488130232646145,0.3188216498283146,0.27320675022102003,0.31910789861622374,0.26833384555573875,0.419432505784723,0.47978283643249897,0.24807153125402204,0.23171130517847693,0.07061998511828695,84.87836949375411,2nd 0.2C discharge / same-cell RPT0
2,2. LOW C@ 25°C #2,LOW C@ 25°C #2,25.0,6,/content/drive/MyDrive/Battery raw data/RPT Data/2. LOW C@ 25°C #2/6.csv,M01Ch002[002],2,6,protocol_second_repeat,6,2,0.6,15164.9,2.5085,1,protocol_second_repeat,11,2,3.0,2884.05,2.2783,2,2.5028,0.486428195170717,OK,True,,0.013334844354592989,0.33694642434360417,0.28635529230935425,0.3400207495480255,0.2956249723321842,0.43026502519197046,0.49385797528101083,0.27303896120624604,0.22081901407476479,0.06806746609005784,82.27481919789614,2nd 0.2C discharge / same-cell RPT0
2,2. LOW C@ 25°C #2,LOW C@ 25°C #2,25.0,7,/content/drive/MyDrive/Battery raw data/RPT Data/2. LOW C@ 25°C #2/7.csv,M01Ch002[002],2,7,protocol_second_repeat,6,2,0.6,14732.0,2.4339,1,protocol_second_repeat,11,2,3.0,2748.2,2.1581,2,2.4261,0.5188018181957053,OK,True,,0.016489454105336938,0.3641516423817326,0.30471707099392525,0.3675678662962335,0.33531052004087103,0.45329678848554006,0.5214665481182339,0.2998872461693265,0.2215793019489074,0.06746183107766367,79.7534516765286,2nd 0.2C discharge / same-cell RPT0
