cell_global_id,cell_folder,aging_condition,aging_temperature_C,rpt_id_from_filename,source_file,channel,channel_num,rpt_id,window_start_s,window_end_s,project_mode,dcir_project_ohm,dcir_project_window_mean_ohm,dcir_project_window_median_ohm,dcir_project_window_std_ohm,dcir_project_window_min_ohm,dcir_project_window_max_ohm,dcir_project_window_start_ohm,dcir_project_window_end_ohm,dcir_project_window_n,dcir_soc50_3a_charge_window_mean_ohm,dcir_soc50_3a_discharge_window_mean_ohm,dcir_soc50_3a_pair_window_mean_ohm,soc50_3a_charge_step,soc50_3a_discharge_step,soc50_3a_repeat,dcir_soc00_window_mean_ohm,dcir_soc00_window_median_ohm,dcir_soc00_window_std_ohm,dcir_soc00_window_start_ohm,dcir_soc00_window_end_ohm,dcir_soc10_window_mean_ohm,dcir_soc10_window_median_ohm,dcir_soc10_window_std_ohm,dcir_soc10_window_start_ohm,dcir_soc10_window_end_ohm,dcir_soc20_window_mean_ohm,dcir_soc20_window_median_ohm,dcir_soc20_window_std_ohm,dcir_soc20_window_start_ohm,dcir_soc20_window_end_ohm,dcir_soc30_window_mean_ohm,dcir_soc30_window_median_ohm,dcir_soc30_window_std_ohm,dcir_soc30_window_start_ohm,dcir_soc30_window_end_ohm,dcir_soc40_window_mean_ohm,dcir_soc40_window_median_ohm,dcir_soc40_window_std_ohm,dcir_soc40_window_start_ohm,dcir_soc40_window_end_ohm,dcir_soc50_window_mean_ohm,dcir_soc50_window_median_ohm,dcir_soc50_window_std_ohm,dcir_soc50_window_start_ohm,dcir_soc50_window_end_ohm,dcir_soc60_window_mean_ohm,dcir_soc60_window_median_ohm,dcir_soc60_window_std_ohm,dcir_soc60_window_start_ohm,dcir_soc60_window_end_ohm,dcir_soc70_window_mean_ohm,dcir_soc70_window_median_ohm,dcir_soc70_window_std_ohm,dcir_soc70_window_start_ohm,dcir_soc70_window_end_ohm,dcir_soc80_window_mean_ohm,dcir_soc80_window_median_ohm,dcir_soc80_window_std_ohm,dcir_soc80_window_start_ohm,dcir_soc80_window_end_ohm,status,cell_channel_match
1,1. LOW C@ 25°C #1,LOW C@ 25°C #1,25.0,0,/content/drive/MyDrive/Battery raw data/RPT Data/1. LOW C@ 25°C #1/0.csv,M01Ch001[001],1,0,8.0,10.0,discharge,0.022888888888888886,0.022888888888888886,0.022999999999999982,0.0005091750772172594,0.02233333333333339,0.02333333333333328,0.02233333333333339,0.02333333333333328,3,0.023888888888888873,0.022888888888888886,0.02272222222222221,37,39,1,0.08999999999999952,0.08999999999999952,2.651347637902923e-16,0.08999999999999934,0.08999999999999972,0.029999999999999565,0.029999999999999565,1.3247655120144353e-16,0.02999999999999947,0.02999999999999966,0.024999999999999283,0.024999999999999283,2.600465634695002e-16,0.0249999999999991,0.024999999999999467,0.0233333333333328,0.0233333333333328,2.600465634695002e-16,0.023333333333332616,0.023333333333332984,0.023333333333333633,0.023333333333333633,1.3247655120144353e-16,0.02333333333333354,0.023333333333333726,0.025000000000000116,0.025000000000000116,1.3247655120144353e-16,0.025000000000000022,0.02500000000000021,0.024999999999999283,0.024999999999999283,2.600465634695002e-16,0.0249999999999991,0.024999999999999467,0.02166666666666715,0.02166666666666715,1.3247655120144353e-16,0.021666666666667056,0.021666666666667243,0.023333333333334094,0.023333333333334094,5.225521552224742e-16,0.023333333333334465,0.023333333333333726,OK,True
1,1. LOW C@ 25°C #1,LOW C@ 25°C #1,25.0,1,/content/drive/MyDrive/Battery raw data/RPT Data/1. LOW C@ 25°C #1/1.csv,M01Ch001[001],1,1,8.0,10.0,discharge,0.02411111111111112,0.02411111111111112,0.02400000000000002,0.0005091750772172594,0.023666666666666725,0.024666666666666615,0.023666666666666725,0.024666666666666615,3,0.025111111111111112,0.02411111111111112,0.02394444444444445,37,39,1,0.08999999999999952,0.08999999999999952,2.651347637902923e-16,0.08999999999999934,0.08999999999999972,0.029999999999999565,0.029999999999999565,1.3247655120144353e-16,0.02999999999999947,0.02999999999999966,0.0266666666666666,0.0266666666666666,1.3247655120144353e-16,0.026666666666666505,0.026666666666666693,0.025000000000000116,0.025000000000000116,1.3247655120144353e-16,0.025000000000000022,0.02500000000000021,0.025000000000000116,0.025000000000000116,1.3247655120144353e-16,0.025000000000000022,0.02500000000000021,0.0266666666666666,0.0266666666666666,1.3247655120144353e-16,0.026666666666666505,0.026666666666666693,0.025000000000000116,0.025000000000000116,1.3247655120144353e-16,0.025000000000000022,0.02500000000000021,0.0233333333333328,0.0233333333333328,2.600465634695002e-16,0.023333333333332616,0.023333333333332984,0.023333333333334094,0.023333333333334094,5.225521552224742e-16,0.023333333333334465,0.023333333333333726,OK,True
1,1. LOW C@ 25°C #1,LOW C@ 25°C #1,25.0,2,/content/drive/MyDrive/Battery raw data/RPT Data/1. LOW C@ 25°C #1/2.csv,M01Ch001[001],1,2,8.0,10.0,discharge,0.025111111111111157,0.025111111111111157,0.02500000000000006,0.0005091750772172594,0.024666666666666764,0.025666666666666654,0.024666666666666764,0.025666666666666654,3,0.026333333333333295,0.025111111111111157,0.025055555555555557,37,39,1,0.09166666666666684,0.09166666666666684,1.2794688166302258e-16,0.09166666666666676,0.09166666666666694,0.031666666666666884,0.031666666666666884,0.0,0.031666666666666884,0.031666666666666884,0.0266666666666666,0.0266666666666666,1.3247655120144353e-16,0.026666666666666505,0.026666666666666693,0.0266666666666666,0.0266666666666666,1.3247655120144353e-16,0.026666666666666505,0.026666666666666693,0.0266666666666666,0.0266666666666666,1.3247655120144353e-16,0.026666666666666505,0.026666666666666693,0.028333333333333082,0.028333333333333082,1.3247655120144353e-16,0.02833333333333299,0.028333333333333176,0.0266666666666666,0.0266666666666666,1.3247655120144353e-16,0.026666666666666505,0.026666666666666693,0.024999999999999283,0.024999999999999283,2.600465634695002e-16,0.0249999999999991,0.024999999999999467,0.024999999999999283,0.024999999999999283,2.600465634695002e-16,0.0249999999999991,0.024999999999999467,OK,True
1,1. LOW C@ 25°C #1,LOW C@ 25°C #1,25.0,3,/content/drive/MyDrive/Battery raw data/RPT Data/1. LOW C@ 25°C #1/3.csv,M01Ch001[001],1,3,8.0,10.0,discharge,0.026111111111111144,0.026111111111111144,0.026000000000000096,0.0005091750772173231,0.025666666666666654,0.02666666666666669,0.025666666666666654,0.02666666666666669,3,0.026999999999999937,0.026111111111111144,0.025888888888888874,37,39,1,0.09333333333333332,0.09333333333333332,1.2794688166302258e-16,0.09333333333333324,0.09333333333333342,0.03333333333333337,0.03333333333333337,0.0,0.03333333333333337,0.03333333333333337,0.028333333333333082,0.028333333333333082,1.3247655120144353e-16,0.02833333333333299,0.028333333333333176,0.0266666666666666,0.0266666666666666,1.3247655120144353e-16,0.026666666666666505,0.026666666666666693,0.029999999999999565,0.029999999999999565,1.3247655120144353e-16,0.02999999999999947,0.02999999999999966,0.029999999999999565,0.029999999999999565,1.3247655120144353e-16,0.02999999999999947,0.02999999999999966,0.0266666666666666,0.0266666666666666,1.3247655120144353e-16,0.026666666666666505,0.026666666666666693,0.02666666666666706,0.02666666666666706,5.225521552224742e-16,0.02666666666666743,0.026666666666666693,0.024999999999999283,0.024999999999999283,2.600465634695002e-16,0.0249999999999991,0.024999999999999467,OK,True
1,1. LOW C@ 25°C #1,LOW C@ 25°C #1,25.0,4,/content/drive/MyDrive/Battery raw data/RPT Data/1. LOW C@ 25°C #1/4.csv,M01Ch001[001],1,4,8.0,10.0,discharge,0.026888888888888934,0.026888888888888934,0.026999999999999986,0.0005091750772173246,0.026333333333333393,0.02733333333333343,0.026333333333333393,0.02733333333333343,3,0.027666666666666628,0.026888888888888934,0.026611111111111117,37,39,1,0.09333333333333332,0.09333333333333332,1.2794688166302258e-16,0.09333333333333324,0.09333333333333342,0.03333333333333337,0.03333333333333337,0.0,0.03333333333333337,0.03333333333333337,0.028333333333333082,0.028333333333333082,1.3247655120144353e-16,0.02833333333333299,0.028333333333333176,0.0266666666666666,0.0266666666666666,1.3247655120144353e-16,0.026666666666666505,0.026666666666666693,0.029999999999999565,0.029999999999999565,1.3247655120144353e-16,0.02999999999999947,0.02999999999999966,0.029999999999999565,0.029999999999999565,1.3247655120144353e-16,0.02999999999999947,0.02999999999999966,0.0266666666666666,0.0266666666666666,1.3247655120144353e-16,0.026666666666666505,0.026666666666666693,0.02833333333333225,0.02833333333333225,2.600465634695002e-16,0.028333333333332066,0.028333333333332433,0.028333333333333915,0.028333333333333915,0.0,0.028333333333333915,0.028333333333333915,OK,True
1,1. LOW C@ 25°C #1,LOW C@ 25°C #1,25.0,5,/content/drive/MyDrive/Battery raw data/RPT Data/1. LOW C@ 25°C #1/5.csv,M01Ch001[001],1,5,8.0,10.0,discharge,0.027555555555555628,0.027555555555555628,0.027666666666666728,0.0005091750772172594,0.027000000000000135,0.028000000000000025,0.027000000000000135,0.028000000000000025,3,0.02855555555555547,0.027555555555555628,0.027388888888888883,37,39,1,0.09500000000000064,0.09500000000000064,0.0,0.09500000000000064,0.09500000000000064,0.03333333333333337,0.03333333333333337,0.0,0.03333333333333337,0.03333333333333337,0.028333333333333082,0.028333333333333082,1.3247655120144353e-16,0.02833333333333299,0.028333333333333176,0.028333333333333082,0.028333333333333082,1.3247655120144353e-16,0.02833333333333299,0.028333333333333176,0.031666666666666884,0.031666666666666884,0.0,0.031666666666666884,0.031666666666666884,0.03166666666666605,0.03166666666666605,1.3256738189514616e-16,0.031666666666665955,0.03166666666666614,0.028333333333333082,0.028333333333333082,1.3247655120144353e-16,0.02833333333333299,0.028333333333333176,0.028333333333333915,0.028333333333333915,0.0,0.028333333333333915,0.028333333333333915,0.030000000000000027,0.030000000000000027,5.225521552224742e-16,0.030000000000000398,0.02999999999999966,OK,True
1,1. LOW C@ 25°C #1,LOW C@ 25°C #1,25.0,6,/content/drive/MyDrive/Battery raw data/RPT Data/1. LOW C@ 25°C #1/6.csv,M01Ch001[001],1,6,8.0,10.0,discharge,0.029310780011036697,0.029310780011036697,0.02933333333333336,0.0004998850726012693,0.028800000000000086,0.029799006699776646,0.028800000000000086,0.029799006699776646,3,0.030099672973863897,0.029310780011036697,0.029021899912779245,37,39,1,0.09983333333333316,0.09983333333333316,1.2794688166302258e-16,0.09983333333333326,0.09983333333333308,0.03333333333333337,0.03333333333333337,0.0,0.03333333333333337,0.03333333333333337,0.03133333333333303,0.03133333333333303,2.6009284745375385e-16,0.03133333333333321,0.031333333333332845,0.03100000000000038,0.03100000000000038,1.3004642372687692e-16,0.03100000000000047,0.031000000000000288,0.032999999999999884,0.032999999999999884,2.6495310240288706e-16,0.032999999999999696,0.03300000000000007,0.03416666666666642,0.03416666666666642,2.6495310240288706e-16,0.03416666666666661,0.034166666666666234,0.03049999999999997,0.03049999999999997,0.0,0.03049999999999997,0.03049999999999997,0.02983333333333301,0.02983333333333301,5.225521552224742e-16,0.02983333333333264,0.02983333333333338,0.03333333333333299,0.03333333333333299,5.250225931237847e-16,0.03333333333333337,0.033333333333332625,OK,True
1,1. LOW C@ 25°C #1,LOW C@ 25°C #1,25.0,7,/content/drive/MyDrive/Battery raw data/RPT Data/1. LOW C@ 25°C #1/7.csv,M01Ch001[001],1,7,8.0,10.0,discharge,0.031077426678369987,0.031077426678369987,0.031100000000000055,0.0005331651984969127,0.030533333333333374,0.03159894670177653,0.030533333333333374,0.03159894670177653,3,0.03186631223403658,0.031077426678369987,0.03075521046871443,37,39,1,0.10466666666666606,0.10466666666666606,2.5514002453611344e-16,0.10466666666666588,0.10466666666666624,0.03483333333333376,0.03483333333333376,2.6009284745375385e-16,0.03483333333333394,0.03483333333333357,0.03333333333333337,0.03333333333333337,0.0,0.03333333333333337,0.03333333333333337,0.03316666666666644,0.03316666666666644,1.3256738189514616e-16,0.03316666666666653,0.033166666666666345,0.03533333333333333,0.03533333333333333,2.6009284745375385e-16,0.035333333333333515,0.03533333333333315,0.03633333333333285,0.03633333333333285,2.6495310240288706e-16,0.03633333333333266,0.03633333333333304,0.03283333333333379,0.03283333333333379,0.0,0.03283333333333379,0.03283333333333379,0.03183333333333298,0.03183333333333298,2.6009284745375385e-16,0.03183333333333279,0.03183333333333316,0.03650000000000061,0.03650000000000061,2.6495310240288706e-16,0.03650000000000042,0.036500000000000796,OK,True
2,2. LOW C@ 25°C #2,LOW C@ 25°C #2,25.0,0,/content/drive/MyDrive/Battery raw data/RPT Data/2. LOW C@ 25°C #2/0.csv,M01Ch002[002],2,0,8.0,10.0,discharge,0.022666666666666686,0.022666666666666686,0.022666666666666686,0.0003333333333332966,0.02233333333333339,0.022999999999999982,0.02233333333333339,0.022999999999999982,3,0.02399999999999997,0.022666666666666686,0.022666666666666658,37,39,1,0.08999999999999952,0.08999999999999952,2.651347637902923e-16,0.08999999999999934,0.08999999999999972,0.031666666666666884,0.031666666666666884,0.0,0.031666666666666884,0.031666666666666884,0.025000000000000116,0.025000000000000116,1.3247655120144353e-16,0.025000000000000022,0.02500000000000021,0.023333333333333633,0.023333333333333633,1.3247655120144353e-16,0.02333333333333354,0.023333333333333726,0.025000000000000116,0.025000000000000116,1.3247655120144353e-16,0.025000000000000022,0.02500000000000021,0.0266666666666666,0.0266666666666666,1.3247655120144353e-16,0.026666666666666505,0.026666666666666693,0.0266666666666666,0.0266666666666666,1.3247655120144353e-16,0.026666666666666505,0.026666666666666693,0.02166666666666715,0.02166666666666715,1.3247655120144353e-16,0.021666666666667056,0.021666666666667243,0.023333333333334094,0.023333333333334094,5.225521552224742e-16,0.023333333333334465,0.023333333333333726,OK,True
2,2. LOW C@ 25°C #2,LOW C@ 25°C #2,25.0,1,/content/drive/MyDrive/Battery raw data/RPT Data/2. LOW C@ 25°C #2/1.csv,M01Ch002[002],2,1,8.0,10.0,discharge,0.024444444444444467,0.024444444444444467,0.024333333333333318,0.0005091750772173409,0.02400000000000002,0.02500000000000006,0.02400000000000002,0.02500000000000006,3,0.02533333333333331,0.024444444444444467,0.024222222222222218,37,39,1,0.08999999999999952,0.08999999999999952,2.651347637902923e-16,0.08999999999999934,0.08999999999999972,0.030000000000000398,0.030000000000000398,0.0,0.030000000000000398,0.030000000000000398,0.0266666666666666,0.0266666666666666,1.3247655120144353e-16,0.026666666666666505,0.026666666666666693,0.024999999999999283,0.024999999999999283,2.600465634695002e-16,0.0249999999999991,0.024999999999999467,0.0266666666666666,0.0266666666666666,1.3247655120144353e-16,0.026666666666666505,0.026666666666666693,0.0266666666666666,0.0266666666666666,1.3247655120144353e-16,0.026666666666666505,0.026666666666666693,0.024999999999999283,0.024999999999999283,2.600465634695002e-16,0.0249999999999991,0.024999999999999467,0.024999999999999283,0.024999999999999283,2.600465634695002e-16,0.0249999999999991,0.024999999999999467,0.02333333333333243,0.02333333333333243,2.6251129656189234e-16,0.023333333333332616,0.023333333333332245,OK,True
